p_center,g1,g2,resid_log,block
1685609797.0,58,18,0.0836514743551463,9
1894912206.0,16,42,0.0892341483390941,10
1270890835.0,58,48,0.2581205489642671,7
1477585809.0,46,38,0.0965961142340531,8
1894912206.0,2,18,-0.0509282756327423,10
1270890835.0,30,52,0.1318152566590511,7
1477585809.0,52,20,0.0308798441170798,8
1894912206.0,32,58,0.1938522661270641,10
1685609797.0,18,48,0.0895132596597993,9
1270890835.0,32,18,0.0858408369387719,7
1477585809.0,6,40,-0.020497964079062,8
1477585809.0,52,8,0.0176365298072644,8
1685609797.0,40,18,0.1003002232252143,9
1894912206.0,28,12,0.0141623822821101,10
1270890835.0,20,54,0.1366353843976199,7
1270890835.0,52,48,0.103585893141247,7
1477585809.0,26,4,-0.0199739541363834,8
1270890835.0,6,14,-0.0416107684164234,7
1685609797.0,22,20,0.047847380336292,9
1685609797.0,6,44,0.0027484123175332,9
1477585809.0,20,18,0.0348843175279504,8
1894912206.0,26,58,0.1451382822950619,10
1894912206.0,28,32,0.1123443531529152,10
1685609797.0,42,8,0.0575910952916111,9
1270890835.0,58,8,0.0837519802052582,7
1270890835.0,8,48,-0.0117804586520217,7
1477585809.0,34,44,0.128628259003214,8
1685609797.0,12,24,0.0019727457462763,9
1270890835.0,56,34,0.0743541766342013,7
1685609797.0,38,34,0.1437623556416732,9
1477585809.0,24,2,-0.0143042133160517,8
1270890835.0,16,56,0.0379039732301579,7
1894912206.0,16,44,0.0684664529268691,10
1894912206.0,12,54,0.0788763617265385,10
1477585809.0,48,12,0.0668483617315222,8
1894912206.0,46,30,0.115837361081339,10
1685609797.0,2,22,-0.0238978575157651,9
1894912206.0,18,18,0.0169793759754584,10
1270890835.0,22,50,0.1147628596748773,7
1685609797.0,48,46,0.1388765812139134,9
1270890835.0,22,30,0.0765031788990002,7
1685609797.0,48,30,0.1474136290903507,9
1894912206.0,2,48,0.020598452948191,10
1477585809.0,8,48,-0.0084746196691867,8
1685609797.0,30,8,0.0133741813793267,9
1894912206.0,42,2,-0.0224480904165844,10
1477585809.0,22,18,0.0296734223878305,8
1685609797.0,26,28,0.0744546919720783,9
1685609797.0,4,38,-0.0038190272830417,9
1894912206.0,30,2,-0.0032967495081464,10
1685609797.0,48,50,0.1890488840596522,9
1685609797.0,22,56,0.1352339280170286,9
1685609797.0,54,18,0.0761225000835188,9
1477585809.0,4,14,-0.0525669902842311,8
1270890835.0,20,24,0.0309816204814802,7
1270890835.0,28,18,0.0540691039319222,7
1685609797.0,48,44,0.1512608097825845,9
1270890835.0,50,12,0.0606044873418736,7
1685609797.0,56,58,0.1809898202013977,9
1477585809.0,38,16,0.0914716404453128,8
1685609797.0,54,4,0.0789510619008047,9
1685609797.0,8,30,0.004180435017582,9
1270890835.0,10,54,0.0950810060941417,7
1894912206.0,4,6,-0.0926487692414264,10
1894912206.0,48,2,0.0171175193834075,10
1894912206.0,6,16,-0.0259272521822396,10
1270890835.0,12,24,0.0104289996278418,7
1477585809.0,18,36,0.0970366586394741,8
1894912206.0,30,52,0.1249542663077247,10
1270890835.0,4,36,-0.0197441678486048,7
1477585809.0,14,42,0.0733515281306607,8
1894912206.0,10,6,-0.062524183233391,10
1894912206.0,36,26,0.0819490468885801,10
1477585809.0,42,50,0.2189849280331946,8
1477585809.0,40,56,0.1513259104817963,8
1270890835.0,28,24,0.0631709529087989,7
1270890835.0,34,56,0.0916386095205062,7
1685609797.0,42,24,0.0715403555260627,9
1477585809.0,58,12,0.0685647083495128,8
1894912206.0,58,56,0.1067291606664953,10
1894912206.0,58,54,0.2321242435041379,10
1894912206.0,50,48,0.1915798396848822,10
1270890835.0,56,28,0.1119249083016767,7
1270890835.0,54,24,0.1483588239165556,7
1270890835.0,54,18,0.0705342429317785,7
1685609797.0,24,28,0.0587627577296544,9
1477585809.0,40,50,0.1205767850785252,8
1270890835.0,42,2,-0.0561691066347553,7
1270890835.0,36,48,0.1084516971232601,7
1477585809.0,26,16,0.0406862989719576,8
1270890835.0,54,12,0.0494411607872407,7
1685609797.0,54,22,0.1475309000517569,9
1894912206.0,14,30,0.028757825504482,10
1477585809.0,50,54,0.1436824368061136,8
1270890835.0,12,58,0.0761565362616166,7
1477585809.0,30,54,0.149588484924123,8
1270890835.0,48,36,0.0779761067705274,7
1270890835.0,38,42,0.1437619806469887,7
1894912206.0,22,24,0.0397810742333995,10
1477585809.0,28,30,0.1021878047249414,8
1270890835.0,36,4,-0.0276970492237342,7
1270890835.0,36,32,0.0113371905156394,7
1894912206.0,34,42,0.1236265141765813,10
1270890835.0,44,22,0.0526264232047595,7
1270890835.0,14,18,0.0060887368050544,7
1685609797.0,52,2,-0.0557475953197343,9
1685609797.0,44,58,0.1647219396848825,9
1477585809.0,26,30,0.0818314911825426,8
1894912206.0,18,52,0.0621512782135774,10
1894912206.0,36,18,0.1092507315570803,10
1685609797.0,14,10,-0.0367477299921397,9
1477585809.0,20,16,0.0179514644391983,8
1270890835.0,56,4,0.068429512270512,7
1477585809.0,36,46,0.084812555533505,8
1270890835.0,6,48,0.0357359817575909,7
1894912206.0,56,4,0.0704703314304517,10
1685609797.0,36,36,0.0752675625295702,9
1894912206.0,56,24,0.1385862755856157,10
1477585809.0,52,18,0.0378258584666323,8
1894912206.0,24,34,0.1709149790142006,10
1894912206.0,4,54,0.0629977053053833,10
1894912206.0,50,58,0.2415913358552097,10
1894912206.0,44,58,0.1837474465818904,10
1477585809.0,2,30,-0.0043951299496239,8
1270890835.0,44,16,0.0404255771775496,7
1270890835.0,48,22,0.0875783140084197,7
1270890835.0,10,44,0.0141876310849147,7
1270890835.0,34,42,0.0735692062322918,7
1477585809.0,56,22,0.1196133419460036,8
1270890835.0,38,52,0.0338258317826216,7
1685609797.0,12,40,-0.0291753048691967,9
1270890835.0,12,30,0.0382779475669088,7
1685609797.0,30,44,0.1204491681744759,9
1477585809.0,48,38,0.1395775836244242,8
1894912206.0,18,40,0.0944184381243215,10
1477585809.0,42,8,0.019135143271896,8
1270890835.0,10,2,-0.0581634664531853,7
1270890835.0,12,20,0.0129485326429957,7
1894912206.0,38,12,0.0884257830332501,10
1685609797.0,10,32,0.0199151897073604,9
1477585809.0,52,26,0.1458716362251368,8
